TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:27:43.000000000,2740.27897573226,-5329.16805343204,-3575.64469490581
1 Jan 2020 20:27:44.000000000,2740.54150796454,-5333.3255762023,-3569.23892897615
1 Jan 2020 20:27:45.000000000,2740.8002340657,-5337.47690904633,-3562.8289761244
1 Jan 2020 20:27:46.000000000,2741.055154637,-5341.62204656127,-3556.4148438698
1 Jan 2020 20:27:47.000000000,2741.30627028446,-5345.76098335186,-3549.9965397365
1 Jan 2020 20:27:48.000000000,2741.55358161979,-5349.89371402988,-3543.57407125352
1 Jan 2020 20:27:49.000000000,2741.79708925947,-5354.02023321473,-3537.14744595481
1 Jan 2020 20:27:50.000000000,2742.03679382567,-5358.14053553287,-3530.71667137916
1 Jan 2020 20:27:51.000000000,2742.2726959452,-5362.25461561847,-3524.28175507023
1 Jan 2020 20:27:52.000000000,2742.50479625092,-5366.36246811257,-3517.84270457656
1 Jan 2020 20:27:53.000000000,2742.73309538019,-5370.46408766398,-3511.39952745151
1 Jan 2020 20:27:54.000000000,2742.95759397572,-5374.55946892882,-3504.95223125331
1 Jan 2020 20:27:55.000000000,2743.17829268565,-5378.64860657044,-3498.50082354501
1 Jan 2020 20:27:56.000000000,2743.39519216326,-5382.73149525967,-3492.04531189446
1 Jan 2020 20:27:57.000000000,2743.60829306713,-5386.80812967465,-3485.58570387437
1 Jan 2020 20:27:58.000000000,2743.81759606068,-5390.87850450111,-3479.12200706222
1 Jan 2020 20:27:59.000000000,2744.02310181307,-5394.94261443194,-3472.6542290403
1 Jan 2020 20:28:00.000000000,2744.22481099813,-5399.00045416768,-3466.18237739569
1 Jan 2020 20:28:01.000000000,2744.42272429541,-5403.05201841608,-3459.70645972023
1 Jan 2020 20:28:02.000000000,2744.61684238918,-5407.09730189252,-3453.22648361055
1 Jan 2020 20:28:03.000000000,2744.80716596926,-5411.13629931966,-3446.74245666803
1 Jan 2020 20:28:04.000000000,2744.99369573068,-5415.16900542757,-3440.25438649882
1 Jan 2020 20:28:05.000000000,2745.17643237331,-5419.195414954,-3433.76228071378
1 Jan 2020 20:28:06.000000000,2745.35537660269,-5423.21552264386,-3427.26614692854
1 Jan 2020 20:28:07.000000000,2745.53052912908,-5427.2293232498,-3420.76599276342
1 Jan 2020 20:28:08.000000000,2745.70189066841,-5431.23681153168,-3414.26182584348
1 Jan 2020 20:28:09.000000000,2745.8694619413,-5435.2379822571,-3407.75365379849
1 Jan 2020 20:28:10.000000000,2746.03324367409,-5439.23283020086,-3401.24148426291
1 Jan 2020 20:28:11.000000000,2746.19323659765,-5443.22135014559,-3394.72532487587
1 Jan 2020 20:28:12.000000000,2746.34944144891,-5447.20353688097,-3388.20518328121
1 Jan 2020 20:28:13.000000000,2746.50185896925,-5451.17938520457,-3381.68106712744
1 Jan 2020 20:28:14.000000000,2746.65048990536,-5455.14888992139,-3375.15298406771
1 Jan 2020 20:28:15.000000000,2746.79533500945,-5459.11204584376,-3368.62094175984
1 Jan 2020 20:28:16.000000000,2746.93639503844,-5463.06884779179,-3362.08494786628
1 Jan 2020 20:28:17.000000000,2747.07367075492,-5467.01929059289,-3355.54501005415
1 Jan 2020 20:28:18.000000000,2747.20716292615,-5470.96336908222,-3349.00113599515
1 Jan 2020 20:28:19.000000000,2747.33687232504,-5474.90107810226,-3342.45333336563
1 Jan 2020 20:28:20.000000000,2747.46279972908,-5478.83241250334,-3335.90160984654
1 Jan 2020 20:28:21.000000000,2747.58494592176,-5482.75736714292,-3329.34597312342
1 Jan 2020 20:28:22.000000000,2747.70331169103,-5486.6759368864,-3322.78643088641
1 Jan 2020 20:28:23.000000000,2747.8178978301,-5490.58811660668,-3316.22299083024
1 Jan 2020 20:28:24.000000000,2747.92870513773,-5494.49390118406,-3309.65566065419
1 Jan 2020 20:28:25.000000000,2748.03573441731,-5498.39328550666,-3303.08444806211
1 Jan 2020 20:28:26.000000000,2748.13898647793,-5502.28626446996,-3296.50936076243
1 Jan 2020 20:28:27.000000000,2748.2384621333,-5506.17283297727,-3289.93040646809
1 Jan 2020 20:28:28.000000000,2748.3341622028,-5510.05298593927,-3283.34759289658
1 Jan 2020 20:28:29.000000000,2748.42608751033,-5513.92671827456,-3276.76092776992
1 Jan 2020 20:28:30.000000000,2748.51423888581,-5517.79402490892,-3270.17041881465
1 Jan 2020 20:28:31.000000000,2748.59861716356,-5521.65490077612,-3263.57607376182
1 Jan 2020 20:28:32.000000000,2748.67922318318,-5525.50934081751,-3256.97790034696
1 Jan 2020 20:28:33.000000000,2748.75605778977,-5529.3573399819,-3250.37590631012
1 Jan 2020 20:28:34.000000000,2748.82912183295,-5533.19889322603,-3243.77009939581
1 Jan 2020 20:28:35.000000000,2748.89841616836,-5537.03399551388,-3237.16048735303
1 Jan 2020 20:28:36.000000000,2748.9639416559,-5540.86264181751,-3230.54707793522
1 Jan 2020 20:28:37.000000000,2749.02569916121,-5544.68482711634,-3223.9298789003
1 Jan 2020 20:28:38.000000000,2749.08368955459,-5548.50054639771,-3217.30889801062
1 Jan 2020 20:28:39.000000000,2749.13791371195,-5552.30979465638,-3210.68414303296
1 Jan 2020 20:28:40.000000000,2749.18837251396,-5556.112566895,-3204.05562173856
1 Jan 2020 20:28:41.000000000,2749.2350668463,-5559.90885812395,-3197.42334190304
1 Jan 2020 20:28:42.000000000,2749.27799760049,-5563.69866336096,-3190.78731130646
1 Jan 2020 20:28:43.000000000,2749.31716567233,-5567.48197763188,-3184.14753773324
1 Jan 2020 20:28:44.000000000,2749.35257196335,-5571.25879596996,-3177.50402897224
1 Jan 2020 20:28:45.000000000,2749.3842173797,-5575.02911341644,-3170.85679281666
1 Jan 2020 20:28:46.000000000,2749.41210283314,-5578.79292501999,-3164.2058370641
1 Jan 2020 20:28:47.000000000,2749.43622924005,-5582.55022583731,-3157.55116951651
1 Jan 2020 20:28:48.000000000,2749.45659752241,-5586.30101093256,-3150.89279798019
1 Jan 2020 20:28:49.000000000,2749.47320860693,-5590.04527537782,-3144.2307302658
1 Jan 2020 20:28:50.000000000,2749.48606342532,-5593.78301425301,-3137.56497418833
1 Jan 2020 20:28:51.000000000,2749.49516291513,-5597.51422264543,-3130.89553756708
1 Jan 2020 20:28:52.000000000,2749.50050801813,-5601.23889565055,-3124.2224282257
1 Jan 2020 20:28:53.000000000,2749.50209968183,-5604.95702837132,-3117.54565399212
1 Jan 2020 20:28:54.000000000,2749.49993885832,-5608.66861591872,-3110.86522269858
1 Jan 2020 20:28:55.000000000,2749.4940265053,-5612.37365341125,-3104.18114218162
1 Jan 2020 20:28:56.000000000,2749.48436358504,-5616.07213597546,-3097.49342028203
1 Jan 2020 20:28:57.000000000,2749.47095106543,-5619.76405874542,-3090.8020648449
1 Jan 2020 20:28:58.000000000,2749.45378991906,-5623.44941686323,-3084.10708371958
1 Jan 2020 20:28:59.000000000,2749.43288112346,-5627.12820547883,-3077.40848475967
1 Jan 2020 20:29:00.000000000,2749.40822566202,-5630.8004197496,-3070.706275823
1 Jan 2020 20:29:01.000000000,2749.37982452233,-5634.46605484119,-3064.00046477165
1 Jan 2020 20:29:02.000000000,2749.34767869768,-5638.12510592677,-3057.29105947192
1 Jan 2020 20:29:03.000000000,2749.31178918593,-5641.77756818758,-3050.57806779433
1 Jan 2020 20:29:04.000000000,2749.27215699051,-5645.42343681244,-3043.8614976136
1 Jan 2020 20:29:05.000000000,2749.22878311945,-5649.0627069983,-3037.14135680866
1 Jan 2020 20:29:06.000000000,2749.18166858633,-5652.69537394969,-3030.41765326261
1 Jan 2020 20:29:07.000000000,2749.13081440941,-5656.32143287918,-3023.69039486276
1 Jan 2020 20:29:08.000000000,2749.07622161191,-5659.94087900728,-3016.95958950054
1 Jan 2020 20:29:09.000000000,2749.01789122285,-5663.553707562,-3010.2252450716
1 Jan 2020 20:29:10.000000000,2748.95582427544,-5667.15991377966,-3003.48736947569
1 Jan 2020 20:29:11.000000000,2748.89002180858,-5670.75949290415,-2996.74597061674
1 Jan 2020 20:29:12.000000000,2748.82048486571,-5674.3524401875,-2990.00105640279
1 Jan 2020 20:29:13.000000000,2748.74721449583,-5677.93875088939,-2983.25263474602
1 Jan 2020 20:29:14.000000000,2748.67021175236,-5681.51842027771,-2976.50071356271
1 Jan 2020 20:29:15.000000000,2748.58947769466,-5685.09144362784,-2969.74530077324
1 Jan 2020 20:29:16.000000000,2748.50501338623,-5688.65781622348,-2962.98640430212
1 Jan 2020 20:29:17.000000000,2748.41681989628,-5692.21753335598,-2956.22403207791
1 Jan 2020 20:29:18.000000000,2748.32489829865,-5695.77059032477,-2949.45819203325
1 Jan 2020 20:29:19.000000000,2748.22924967211,-5699.3169824373,-2942.68889210488
1 Jan 2020 20:29:20.000000000,2748.12987510121,-5702.85670500857,-2935.91614023357
1 Jan 2020 20:29:21.000000000,2748.02677567466,-5706.38975336198,-2929.13994436414
1 Jan 2020 20:29:22.000000000,2747.91995248683,-5709.91612282855,-2922.36031244546
1 Jan 2020 20:29:23.000000000,2747.80940663662,-5713.43580874753,-2915.57725243043
1 Jan 2020 20:29:24.000000000,2747.69513922844,-5716.94880646587,-2908.79077227597
1 Jan 2020 20:29:25.000000000,2747.57715137124,-5720.45511133876,-2902.00087994301
1 Jan 2020 20:29:26.000000000,2747.45544417949,-5723.95471872909,-2895.20758339647
